id,oppgave_master_id,kode,beskrivelse,bygningsdel
65674534-bd39-4485-a243-50d50f0b25ba,200.04,1.03,"Kontroller for sprekker, råte og avbøyninger. Er det behov for overflatebehandling?",222
66556c42-9464-485d-9a02-a2f06ffd605b,265.01,1.2,Kontroller takrenner for rust og lekkasje,265
66dd226d-bd8d-43ce-a2c9-04688b03b653,360.01,1.07,Kontroller at roterende varmegjennvinner løper lett og smør opp ved behov,360
6722677c-0800-47ad-98f5-ae05587a31cf,325.02,1.1,Kontroller for trykk og væskenivå,325
68042eae-e4f3-43a4-bf0f-e7af8f51f673,443.01,1.2,Kontroller at alle markerings- og ledelys fungerer,443
685751c3-57df-4d2c-8ac0-585cfd2b74af,350.02,1.11,Tapp evt. kompressor for kondens,350
68a20965-c5d5-4749-a2cb-a62521f81c29,430.01,1.04,"Kontroller at sikringer, kabler og annet utstyr for synlige skader og unormal varme/lukt",430
68fea953-076d-4b8f-b150-81f008b34daf,621.02,1.1,"Kontroller at heismaskinrom er ryddig og rent, og rapporter om evt. Avvik",621
692080f8-9666-484e-b1df-ab35fa6da4d7,237.01,1.2,Lukke evt. avvik fra servicerapport,237
6ab80a3a-d390-4fc6-ae14-9a98daffe4c7,265.01,1.5,Kontroller at varmekablene i takrenner og rundt takslukene er på/av og generell funksjon,265
6b423788-a643-4b1a-a03a-e6272228595d,745.01,1.7,"Utfør visuell kontroll av alle utearealer varmekablene betjener, se om smelteeffekt er tilstrekkelig",745
6c7ca7db-6671-4ba3-9b82-7354012b449c,443.02,1.3,Kontroller at ledeskilt er tilstrekkelig etablert om evt. mangler skilt,443
6d2a36da-88bd-44d0-92f6-5119939201d4,731.01,1.2,Kontroller at pumpen starter manuelt via nivåvippen og via styreskap,731
6defec58-4e31-41cc-bde6-fbfcc4b4ab68,353.01,1.3,Støvsug/vask filter på fancoil ved behov,353
6e3c3cdc-1f21-45b9-920e-4fb85c5a3876,237.01,1.3,Lagre servicerapport som dokumentasjon,237
6fbd6ea9-09ec-4117-9787-31b4726bebb5,454.02,1.3,Kontroller driftstrykket,454
6ffee202-eb33-43eb-abb2-58e8572ae54e,360.01,1.10,Kontroller at spjeldene åpner og lukker helt,360
708294b6-c82d-4e17-abca-1abfd4f0fe4b,732.01,1.9,Utfør visuell kontroll av alle utearealer anlegget betjener og se om smelteeffekt er tilstrekkelig,732
